ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,38278,86,376380,106639,15823,13215,1240,7,0.682266826910
1,551661,6832,87,532992,5805,2590,2941,414,7,0.966158564771
2,551661,22619,334,467987,31659,27773,1285,4,7,0.848323517523
3,551661,19717,116,488029,26456,4572,12562,209,7,0.884653800069
4,551661,114682,3135,252020,39481,125758,13503,3082,7,0.456838529459
5,551661,107882,229,412330,10125,16116,3714,1265,7,0.747433659439
6,551661,12926,986,397945,83139,30969,23144,2552,7,0.721357862890
7,551661,81579,189,323276,133337,11051,1777,452,7,0.586004810926
8,551661,18710,48,471779,53563,3763,3599,199,7,0.855197304141
9,551661,12700,262,518298,4695,9737,5327,642,7,0.939522641622
10,551661,14654,346,118051,338216,6692,72937,765,7,0.613086660105
11,551661,18658,68,472473,25301,26459,7264,1438,7,0.856455323106
12,551661,9659,582,465551,53266,14839,7540,224,7,0.843907762195
13,551661,40842,46,442199,53649,5313,9476,136,7,0.801577418016
14,551661,14396,502,392783,85208,52614,5244,914,7,0.712000667076
15,551661,17118,132,451623,68261,13244,967,316,7,0.818660372946
16,551661,6419,346,524508,7858,3441,9061,28,7,0.950779554835
17,551661,3107,586,519362,20607,2051,5824,124,7,0.941451362340
18,551661,72199,315,448864,13183,11524,5540,36,7,0.813659113115
19,551661,45459,165,471902,10926,17759,5341,109,7,0.855420267157
20,551661,7595,15,514660,26165,3169,7,50,7,0.932928011949
21,551661,3027,691,213180,301700,3322,29432,309,7,0.546893835163
22,551661,31146,389,474650,14307,10268,20407,494,7,0.860401587207
23,551661,467,200,369720,88885,50165,40169,2055,7,0.670194195348
24,551660,19759,5,493517,35093,863,1936,487,7,0.894603560164
25,551660,19373,53,425198,75992,22399,8021,624,7,0.770760975963
26,551660,51637,159,296483,158870,26951,17150,410,7,0.537437914658
27,551660,4184,130,466502,59600,10042,11011,191,7,0.845633179857
28,551660,11834,2,498966,10722,9975,19800,361,7,0.904481020919
29,551660,46804,232,472027,20985,6522,4532,558,7,0.855648406627
