ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,441632,26,1953,103730,0,0,4320,5,0.800549612896
1,551661,0,0,551654,7,0,0,0,2,0.999987311048
2,551661,0,0,551391,270,0,0,0,2,0.999510568991
3,551661,0,0,551658,0,3,0,0,2,0.999994561878
4,551661,1,0,551658,0,2,0,0,3,0.999994561878
5,551661,0,1,229591,0,7118,305746,9205,5,0.554228049472
6,551661,0,0,551660,0,1,0,0,2,0.999998187293
7,551661,0,0,551630,30,1,0,0,3,0.999943806069
8,551661,0,0,3093,531347,17194,0,27,4,0.963176661029
9,551661,0,0,551173,488,0,0,0,2,0.999115398768
10,551661,0,0,551656,5,0,0,0,2,0.999990936463
11,551661,0,0,551661,0,0,0,0,1,1.000000000000
12,551661,0,0,537430,2079,12152,0,0,3,0.974203360397
13,551661,1,1,0,518484,33175,0,0,4,0.939859805206
14,551661,0,1,551388,18,0,254,0,4,0.999505130868
15,551661,194124,51,0,37850,263005,56630,1,6,0.476751120706
16,551661,0,0,551548,113,0,0,0,2,0.999795164059
17,551661,1,0,551614,46,0,0,0,3,0.999914802750
18,551661,1,0,551658,0,0,0,2,3,0.999994561878
19,551661,0,0,549124,1514,1023,0,0,3,0.995401161220
20,551661,0,0,551659,2,0,0,0,2,0.999996374585
21,551661,0,0,447598,1635,102400,28,0,4,0.811364225494
22,551661,0,0,551655,0,6,0,0,2,0.999989123755
23,551661,13,0,549159,84,2401,4,0,5,0.995464605981
24,551660,0,0,551614,0,46,0,0,2,0.999916615307
25,551660,7,0,486213,1,65438,0,1,5,0.881363521009
26,551660,211276,0,39163,294565,465,61,6130,6,0.533961135482
27,551660,27200,10356,1709,471060,41332,3,0,6,0.853895515354
28,551660,0,0,551658,0,0,0,2,2,0.999996374579
29,551660,6,0,551287,365,2,0,0,4,0.999323858899
