ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,0,0,551661,0,0,0,0,1,1.000000000000
1,551661,0,0,551661,0,0,0,0,1,1.000000000000
2,551661,200828,423,56041,167331,205,126833,0,6,0.364042410103
3,551661,510254,0,27584,0,3103,10720,0,4,0.924941222961
4,551661,39,0,551622,0,0,0,0,2,0.999929304410
5,551661,0,0,551660,1,0,0,0,2,0.999998187293
6,551661,0,0,551657,4,0,0,0,2,0.999992749170
7,551661,0,0,551661,0,0,0,0,1,1.000000000000
8,551661,0,0,551661,0,0,0,0,1,1.000000000000
9,551661,1,0,551651,9,0,0,0,3,0.999981872926
10,551661,5,115,551531,0,10,0,0,4,0.999764348033
11,551661,0,0,481524,9,0,57094,13034,4,0.872862138161
12,551661,0,0,551661,0,0,0,0,1,1.000000000000
13,551661,0,38,1,1962,527846,21743,71,6,0.956830372276
14,551661,56,0,551546,57,2,0,0,4,0.999791538644
15,551661,40,10,448085,100,0,103423,3,6,0.812247014018
16,551661,0,2,550628,1031,0,0,0,3,0.998127473213
17,551661,2753,2414,45,532101,14348,0,0,5,0.964543442440
18,551661,0,0,247720,277790,0,26151,0,3,0.503552000232
19,551661,388,0,551268,5,0,0,0,3,0.999287605975
20,551661,0,0,551661,0,0,0,0,1,1.000000000000
21,551661,0,0,551619,0,0,41,1,3,0.999923866287
22,551661,159165,0,49,391184,0,786,477,5,0.709102147877
23,551661,606,6036,544988,0,29,2,0,5,0.987903803241
24,551660,17,0,551643,0,0,0,0,2,0.999969183918
25,551660,0,43,135,545370,0,10,6102,5,0.988598049523
26,551660,3,0,551043,0,0,614,0,3,0.998881557481
27,551660,1,17,551478,1,70,93,0,6,0.999670086648
28,551660,1,0,551659,0,0,0,0,2,0.999998187289
29,551660,105,1338,488112,46738,151,15216,0,6,0.884805858681
