ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,167,14,544282,1073,2352,3717,56,7,0.986624031788
1,551661,5239,0,485371,5124,53648,2180,99,6,0.879835623689
2,551661,67626,27,475034,4831,1871,2167,105,7,0.861097666864
3,551661,12643,43,356477,174255,5879,2109,255,7,0.646188510698
4,551661,3663,28,534843,7880,1257,3957,33,7,0.969513886245
5,551661,15220,51,494138,39233,2706,75,238,7,0.895727629831
6,551661,22566,240,282228,206451,19072,20363,741,7,0.511596795858
7,551661,383,145,511212,22561,12201,5140,19,7,0.926677796690
8,551661,192455,2916,271426,54771,24127,4845,1121,7,0.492015930073
9,551661,860,110,546626,1373,1327,1213,152,7,0.990873018031
10,551661,14133,38,455811,78456,1832,1248,143,7,0.826251991712
11,551661,3263,14,533641,13058,817,808,60,7,0.967335011900
12,551661,11208,29,372622,106526,32428,28731,117,7,0.675454672344
13,551661,489,37,530606,14486,2287,3394,362,7,0.961833444815
14,551661,3002,260,527302,18301,2065,582,149,7,0.955844259427
15,551661,21285,456,425420,77417,21185,5409,489,7,0.771161999851
16,551661,6416,42,540557,1891,1462,1276,17,7,0.979871696567
17,551661,350,22,507559,13615,6049,23907,159,7,0.920055976406
18,551661,144326,1763,263648,82478,48864,9750,832,7,0.477916691591
19,551661,10038,15,535085,902,2746,2689,186,7,0.969952561446
20,551661,64370,44,454558,30837,1338,109,405,7,0.823980669288
21,551661,19430,49,345825,165659,16971,1856,1871,7,0.626879551029
22,551661,4579,61,530851,6098,8162,1442,468,7,0.962277558138
23,551661,31806,85,285817,208681,21751,2694,827,7,0.518102602867
24,551660,37128,73,472525,34946,6255,612,121,7,0.856551136570
25,551660,7165,24,472302,71120,535,412,102,7,0.856146902077
26,551660,69516,2981,111070,129869,47731,182823,7670,7,0.331405213356
27,551660,91917,744,197115,227354,6359,26778,1393,7,0.412127034768
28,551660,759,108,452326,91740,228,6420,79,7,0.819936192582
29,551660,12260,17,256978,72707,192259,16020,1419,7,0.465826777363
