ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,72729,7,430048,39486,1041,8025,325,7,0.779551209892
1,551661,6062,274,491886,47238,6007,181,13,7,0.891645412672
2,551661,6377,76,464802,70927,3306,4669,1504,7,0.842550044321
3,551661,5208,29,535756,9272,933,417,46,7,0.971168888140
4,551661,18930,218,494643,25887,7332,4458,193,7,0.896643047089
5,551661,10180,116,397256,134226,5614,3757,512,7,0.720108907463
6,551661,42841,3268,431523,36926,2542,34219,342,7,0.782224953368
7,551661,1720,512,508367,37074,1447,2304,237,7,0.921520644019
8,551661,43948,500,138064,187206,78510,103378,55,7,0.339349709332
9,551661,32789,1122,417683,62073,36268,453,1273,7,0.757137082375
10,551661,75422,432,317604,111512,43546,1775,1370,7,0.575723134316
11,551661,7798,46,529356,5977,2700,5773,11,7,0.959567560513
12,551661,116005,349,100100,323894,6485,4171,657,7,0.587125064125
13,551661,23174,60,477320,25973,21262,3791,81,7,0.865241516076
14,551661,100682,191,392355,5573,36493,15420,947,7,0.711224828291
15,551661,605,80,515464,29267,1366,4703,176,7,0.934385428733
16,551661,119490,234,330856,12652,41212,46353,864,7,0.599745133334
17,551661,26534,570,493922,1823,13333,14604,875,7,0.895336085023
18,551661,25758,239,483114,4571,12386,24949,644,7,0.875744342993
19,551661,12560,359,223497,272182,34960,6203,1900,7,0.493386336899
20,551661,14750,353,371960,84475,47415,31862,846,7,0.674254660018
21,551661,2787,264,516201,23700,7874,761,74,7,0.935721394117
22,551661,14869,109,515593,13353,2896,4068,773,7,0.934619267992
23,551661,3823,103,511784,22824,7512,5107,508,7,0.927714665347
24,551660,2731,100,526526,13184,1256,7683,180,7,0.954439328572
25,551660,22097,94,317690,130738,76091,1897,3053,7,0.575880071058
26,551660,19361,597,463981,26117,28533,11359,1712,7,0.841063336113
27,551660,18863,17,523974,3588,1466,3666,86,7,0.949813290795
28,551660,23751,98,478413,37813,8130,3304,151,7,0.867224377334
29,551660,2418,19,373517,164162,7848,3416,280,7,0.677078272849
