ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,188755,0,123282,0,239623,0,1,4,0.434366395304
1,551661,0,2638,36048,512894,0,0,81,4,0.929726770607
2,551661,124,0,551537,0,0,0,0,2,0.999775224277
3,551661,50,0,551598,0,13,0,0,3,0.999885799431
4,551661,0,0,551655,6,0,0,0,2,0.999989123755
5,551661,3223,0,456367,92071,0,0,0,3,0.827259857050
6,551661,0,0,551661,0,0,0,0,1,1.000000000000
7,551661,0,0,430703,120055,0,903,0,3,0.780738533266
8,551661,22774,6412,0,278066,946,223998,19465,6,0.504052307486
9,551661,0,0,551609,52,0,0,0,2,0.999905739213
10,551661,12591,101,91457,435642,11445,394,31,7,0.789691495320
11,551661,0,0,551623,5,0,1,32,4,0.999931117117
12,551661,81,15,551005,559,0,0,1,5,0.998810863918
13,551661,40807,0,510725,0,52,0,77,4,0.925795008166
14,551661,1269,58,361380,56667,1482,130805,0,6,0.655076215284
15,551661,305,0,534646,16709,1,0,0,4,0.969156782879
16,551661,0,0,551660,0,0,1,0,2,0.999998187293
17,551661,0,0,551567,90,0,4,0,3,0.999829605500
18,551661,0,0,551661,0,0,0,0,1,1.000000000000
19,551661,225179,0,326380,26,71,5,0,5,0.591631454825
20,551661,397,21,551239,0,0,4,0,4,0.999235037460
21,551661,0,0,551661,0,0,0,0,1,1.000000000000
22,551661,82696,0,468859,0,71,35,0,4,0.849904198412
23,551661,43861,1,73944,433540,0,315,0,5,0.785881184278
24,551660,1,0,551583,76,0,0,0,3,0.999860421274
25,551660,0,0,551644,16,0,0,0,2,0.999970996628
26,551660,252149,1190,0,1,292059,6261,0,5,0.529418482399
27,551660,0,0,534536,17123,1,0,0,3,0.968959141500
28,551660,0,0,551652,8,0,0,0,2,0.999985498314
29,551660,0,0,551573,87,0,0,0,2,0.999842294167
