ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,1,0,551659,0,1,0,0,3,0.999996374585
1,551661,837,83,546985,6,0,3750,0,5,0.991523780003
2,551661,0,0,551578,17,6,53,7,5,0.999849545282
3,551661,0,0,533631,18004,23,0,3,4,0.967316884826
4,551661,0,0,551659,2,0,0,0,2,0.999996374585
5,551661,0,0,551588,70,3,0,0,3,0.999867672357
6,551661,41,0,489326,0,15657,46637,0,4,0.887004881621
7,551661,371930,103,33774,93642,0,32828,19384,6,0.674200278794
8,551661,483769,1,26,40,0,67753,72,6,0.876931666368
9,551661,0,0,551660,0,0,0,1,2,0.999998187293
10,551661,1,0,551660,0,0,0,0,2,0.999998187293
11,551661,0,0,551648,13,0,0,0,2,0.999976434803
12,551661,1,0,551659,0,0,0,1,3,0.999996374585
13,551661,0,0,551657,0,0,0,4,2,0.999992749170
14,551661,0,0,551378,37,246,0,0,3,0.999487003794
15,551661,2,0,551659,0,0,0,0,2,0.999996374585
16,551661,0,0,216454,2,164091,171114,0,4,0.392367776587
17,551661,0,0,551660,0,0,1,0,2,0.999998187293
18,551661,0,0,551340,321,0,0,0,2,0.999418120911
19,551661,0,0,551661,0,0,0,0,1,1.000000000000
20,551661,0,0,279,309769,201962,39498,153,5,0.561520571510
21,551661,6830,0,8,542460,1315,1048,0,5,0.983321278829
22,551661,12,8,109610,442031,0,0,0,4,0.801272883166
23,551661,4788,6,384481,0,162352,0,34,5,0.696951569895
24,551660,0,0,543057,8580,0,0,23,3,0.984405249610
25,551660,0,0,551577,0,77,0,6,3,0.999849545010
26,551660,0,0,2909,548684,31,36,0,4,0.994605372875
27,551660,6050,10235,535352,15,0,8,0,5,0.970438313454
28,551660,0,0,551660,0,0,0,0,1,1.000000000000
29,551660,0,0,551660,0,0,0,0,1,1.000000000000
