ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,0,0,551639,1,21,0,0,3,0.999960120436
1,551661,1,0,551660,0,0,0,0,2,0.999998187293
2,551661,5387,0,545626,364,284,0,0,4,0.989060310589
3,551661,4,0,551657,0,0,0,0,2,0.999992749170
4,551661,142,0,39399,512100,19,0,1,5,0.928287480899
5,551661,3526,0,4542,543592,1,0,0,4,0.985373263653
6,551661,0,0,551655,6,0,0,0,2,0.999989123755
7,551661,281,0,551380,0,0,0,0,2,0.999490629209
8,551661,0,0,5995,545407,255,4,0,4,0.988663327660
9,551661,0,0,551392,269,0,0,0,2,0.999512381698
10,551661,519804,0,45,30330,1482,0,0,4,0.942252579030
11,551661,1133,0,527236,165,23125,0,2,5,0.955724620736
12,551661,1944,0,549692,19,6,0,0,4,0.996430779047
13,551661,0,0,551661,0,0,0,0,1,1.000000000000
14,551661,0,0,551536,125,0,0,0,2,0.999773411570
15,551661,118987,0,432670,4,0,0,0,3,0.784304128804
16,551661,0,0,551661,0,0,0,0,1,1.000000000000
17,551661,52832,0,498828,0,1,0,0,3,0.904229227732
18,551661,0,0,551661,0,0,0,0,1,1.000000000000
19,551661,0,0,551661,0,0,0,0,1,1.000000000000
20,551661,0,0,548457,3197,7,0,0,3,0.994192085357
21,551661,0,0,225137,326523,1,0,0,3,0.591890671989
22,551661,0,0,551661,0,0,0,0,1,1.000000000000
23,551661,170145,10436,0,0,3,351473,19604,5,0.637117722659
24,551660,0,0,19770,1,520559,11249,81,5,0.943622883660
25,551660,0,0,551660,0,0,0,0,1,1.000000000000
26,551660,0,0,551660,0,0,0,0,1,1.000000000000
27,551660,0,0,551629,31,0,0,0,2,0.999943805967
28,551660,66,0,550035,1559,0,0,0,3,0.997054345068
29,551660,10,0,551650,0,0,0,0,2,0.999981872893
