ClientID,Capacity,Label0_Benign,Label1_Brute Force,Label2_DoS_DDoS,Label3_Mirai,Label4_Recon,Label5_Spoofing,Label6_Web,ActiveClasses,MaxClassShare
0,551661,1312,17,510999,30275,181,8774,103,7,0.926291690005
1,551661,13015,440,351336,149326,33732,3644,168,7,0.636869381740
2,551661,12531,1132,488389,37857,8832,2774,146,7,0.885306374748
3,551661,4438,17,516322,26058,4512,227,87,7,0.935940731717
4,551661,23335,628,510382,2339,11082,2542,1353,7,0.925173249514
5,551661,156825,40,202353,140923,26288,24199,1033,7,0.366806788952
6,551661,97150,1255,280003,116923,36668,16247,3415,7,0.507563521801
7,551661,45422,165,446678,51744,1702,5435,515,7,0.809696534647
8,551661,600,207,467127,51115,4085,28455,72,7,0.846764589123
9,551661,56630,2801,164136,321627,1786,4260,421,7,0.583015656354
10,551661,1386,846,377002,145503,24373,1328,1223,7,0.683394330939
11,551661,13120,182,413865,63897,13195,46491,911,7,0.750216165362
12,551661,37635,8,465117,29605,18454,491,351,7,0.843121047165
13,551661,9365,186,521829,11060,974,8221,26,7,0.945923311599
14,551661,4226,752,215720,243656,57067,28339,1901,7,0.441677044417
15,551661,8884,231,491368,29204,17234,4056,684,7,0.890706430217
16,551661,41403,50,412346,61334,17056,19406,66,7,0.747462662758
17,551661,30505,340,301073,60833,120763,34444,3703,7,0.545757267597
18,551661,49641,44,475133,12418,1489,12411,525,7,0.861277124901
19,551661,9352,102,534432,324,3521,3923,7,7,0.968768863487
20,551661,20794,35,466252,20053,18543,25930,54,7,0.845178470111
21,551661,50095,50,306692,182238,3872,8089,625,7,0.555942870712
22,551661,33189,25,486075,13623,15521,3177,51,7,0.881111769728
23,551661,20312,143,420104,96811,5410,8462,419,7,0.761525647091
24,551660,314,7,543777,125,4927,2389,121,7,0.985710401334
25,551660,16352,120,472325,15187,29966,17418,292,7,0.856188594424
26,551660,7011,25,495184,25687,9353,14104,296,7,0.897625348947
27,551660,67639,236,440509,7599,18874,16276,527,7,0.798515389914
28,551660,1281,30,526763,10110,7783,5561,132,7,0.954868941014
29,551660,40500,322,469964,6239,28521,5653,461,7,0.851908784396
