outer_fold,fl_seed,malicious_count,realized_fraction,global_client_id
1,123,6,0.21428571428571427,subject103_client1
1,123,6,0.21428571428571427,subject103_client3
1,123,6,0.21428571428571427,subject105_client2
1,123,6,0.21428571428571427,subject106_client0
1,123,6,0.21428571428571427,subject107_client2
1,123,6,0.21428571428571427,subject107_client3
1,123,11,0.39285714285714285,subject102_client0
1,123,11,0.39285714285714285,subject102_client3
1,123,11,0.39285714285714285,subject104_client0
1,123,11,0.39285714285714285,subject104_client3
1,123,11,0.39285714285714285,subject105_client0
1,123,11,0.39285714285714285,subject105_client1
1,123,11,0.39285714285714285,subject106_client2
1,123,11,0.39285714285714285,subject106_client3
1,123,11,0.39285714285714285,subject107_client0
1,123,11,0.39285714285714285,subject107_client3
1,123,11,0.39285714285714285,subject108_client3
1,456,6,0.21428571428571427,subject103_client3
1,456,6,0.21428571428571427,subject104_client0
1,456,6,0.21428571428571427,subject105_client2
1,456,6,0.21428571428571427,subject107_client1
1,456,6,0.21428571428571427,subject107_client2
1,456,6,0.21428571428571427,subject108_client3
1,456,11,0.39285714285714285,subject102_client0
1,456,11,0.39285714285714285,subject103_client1
1,456,11,0.39285714285714285,subject104_client0
1,456,11,0.39285714285714285,subject104_client1
1,456,11,0.39285714285714285,subject104_client2
1,456,11,0.39285714285714285,subject104_client3
1,456,11,0.39285714285714285,subject105_client1
1,456,11,0.39285714285714285,subject106_client2
1,456,11,0.39285714285714285,subject107_client3
1,456,11,0.39285714285714285,subject108_client1
1,456,11,0.39285714285714285,subject108_client3
2,123,6,0.21428571428571427,subject103_client1
2,123,6,0.21428571428571427,subject104_client3
2,123,6,0.21428571428571427,subject106_client1
2,123,6,0.21428571428571427,subject106_client2
2,123,6,0.21428571428571427,subject107_client3
2,123,6,0.21428571428571427,subject108_client1
2,123,11,0.39285714285714285,subject101_client0
2,123,11,0.39285714285714285,subject101_client2
2,123,11,0.39285714285714285,subject103_client1
2,123,11,0.39285714285714285,subject104_client3
2,123,11,0.39285714285714285,subject105_client0
2,123,11,0.39285714285714285,subject107_client0
2,123,11,0.39285714285714285,subject107_client1
2,123,11,0.39285714285714285,subject108_client0
2,123,11,0.39285714285714285,subject108_client1
2,123,11,0.39285714285714285,subject108_client2
2,123,11,0.39285714285714285,subject108_client3
2,456,6,0.21428571428571427,subject103_client2
2,456,6,0.21428571428571427,subject105_client1
2,456,6,0.21428571428571427,subject105_client2
2,456,6,0.21428571428571427,subject105_client3
2,456,6,0.21428571428571427,subject106_client2
2,456,6,0.21428571428571427,subject107_client1
2,456,11,0.39285714285714285,subject101_client1
2,456,11,0.39285714285714285,subject101_client3
2,456,11,0.39285714285714285,subject103_client0
2,456,11,0.39285714285714285,subject103_client3
2,456,11,0.39285714285714285,subject104_client0
2,456,11,0.39285714285714285,subject104_client1
2,456,11,0.39285714285714285,subject107_client3
2,456,11,0.39285714285714285,subject108_client0
2,456,11,0.39285714285714285,subject108_client1
2,456,11,0.39285714285714285,subject108_client2
2,456,11,0.39285714285714285,subject108_client3
3,123,6,0.21428571428571427,subject102_client1
3,123,6,0.21428571428571427,subject103_client3
3,123,6,0.21428571428571427,subject104_client1
3,123,6,0.21428571428571427,subject106_client0
3,123,6,0.21428571428571427,subject106_client2
3,123,6,0.21428571428571427,subject106_client3
3,123,11,0.39285714285714285,subject101_client0
3,123,11,0.39285714285714285,subject101_client2
3,123,11,0.39285714285714285,subject102_client2
3,123,11,0.39285714285714285,subject102_client3
3,123,11,0.39285714285714285,subject103_client1
3,123,11,0.39285714285714285,subject104_client1
3,123,11,0.39285714285714285,subject104_client2
3,123,11,0.39285714285714285,subject106_client0
3,123,11,0.39285714285714285,subject106_client3
3,123,11,0.39285714285714285,subject107_client3
3,123,11,0.39285714285714285,subject108_client2
3,456,6,0.21428571428571427,subject102_client1
3,456,6,0.21428571428571427,subject104_client0
3,456,6,0.21428571428571427,subject106_client0
3,456,6,0.21428571428571427,subject106_client3
3,456,6,0.21428571428571427,subject108_client0
