outer_fold,fl_seed,global_client_id,initial_energy,compute_factor
1,123,subject102_client0,0.7425471104301989,0.8192114123946406
1,123,subject102_client1,0.8874821391058835,1.1970130387891402
1,123,subject102_client2,0.7812361136529443,1.1141394452270545
1,123,subject102_client3,0.9356707706609688,1.1504124588816316
1,123,subject103_client0,0.9997040722260545,1.1800610138084906
1,123,subject103_client1,0.8261510593307242,0.8497228377368204
1,123,subject103_client2,0.8897285509987022,0.8528236466273944
1,123,subject103_client3,0.7304184150728238,0.8059406798586952
1,123,subject104_client0,0.885892183055821,0.883748209104203
1,123,subject104_client1,0.9457363627880472,1.0047591762578154
1,123,subject104_client2,0.895126853980368,0.9250658660329215
1,123,subject104_client3,0.9240920566806895,0.947177697050691
1,123,subject105_client0,0.7889021019867986,1.1764292568095942
1,123,subject105_client1,0.7134559162823034,1.0407835858396262
1,123,subject105_client2,0.8972014107414669,0.9065636687477001
1,123,subject105_client3,0.9658713458737458,1.0206957284789444
1,123,subject106_client0,0.7863914388109033,0.8307361594562507
1,123,subject106_client1,0.9997968986521324,1.1617101614589236
1,123,subject106_client2,0.9958493822455772,1.141289460243133
1,123,subject106_client3,0.7059668942550444,1.1866939675541732
1,123,subject107_client0,0.9698879946953227,0.9019613969387649
1,123,subject107_client1,0.9574705913378521,0.8670176595689518
1,123,subject107_client2,0.9490066590927125,0.8506891506047587
1,123,subject107_client3,0.9387860845586313,1.1716460782494407
1,123,subject108_client0,0.9295127665777655,1.1135499822094528
1,123,subject108_client1,0.757766724887322,0.9056102268732349
1,123,subject108_client2,0.8128774504030638,1.0226706613402805
1,123,subject108_client3,0.92712538682304,1.0870626765606624
1,456,subject102_client0,0.880894870694134,0.854015117414099
1,456,subject102_client1,0.839744770451005,1.0419981290818516
1,456,subject102_client2,0.8417074682621473,1.1791303277368916
1,456,subject102_client3,0.7853670241863698,1.1736533636255126
1,456,subject103_client0,0.962839726227299,1.1301730033903905
1,456,subject103_client1,0.8399852178639668,0.9887673976014737
1,456,subject103_client2,0.7360709772358123,0.8255666518259183
1,456,subject103_client3,0.7493685850874992,1.1068173513008772
1,456,subject104_client0,0.8282421371247332,0.8856532933632002
1,456,subject104_client1,0.9822698430026455,0.8548093402936981
1,456,subject104_client2,0.7232497252565792,0.9577896583030465
1,456,subject104_client3,0.8843262074409576,1.122957805541695
1,456,subject105_client0,0.7355962289486699,1.1035304669692385
1,456,subject105_client1,0.7230096600400334,0.9119761678882293
1,456,subject105_client2,0.9888524809147188,0.8282830838401678
1,456,subject105_client3,0.8120388710093716,1.0133004794691474
1,456,subject106_client0,0.8225940581830072,0.9788249744955747
1,456,subject106_client1,0.8756351931213702,0.8908092618098188
1,456,subject106_client2,0.9943390723350289,0.8773258046800902
1,456,subject106_client3,0.8121801030277338,1.0712860331543177
1,456,subject107_client0,0.9439179747902333,1.0292913776893424
1,456,subject107_client1,0.8668882214897101,1.1675456797416721
1,456,subject107_client2,0.8826657164010493,1.0832755502924976
1,456,subject107_client3,0.8458668665892706,1.1771451972328273
1,456,subject108_client0,0.9442625420264329,0.9468595000077117
1,456,subject108_client1,0.7473268255761603,0.9844409518778833
1,456,subject108_client2,0.9620795073760302,1.085985826357547
1,456,subject108_client3,0.7163814296018037,1.1256914259959951
2,123,subject101_client0,0.7480445326314312,1.1855024390217785
2,123,subject101_client1,0.8537254539070338,0.9780230164761118
2,123,subject101_client2,0.9272245164705,1.01109697723577
2,123,subject101_client3,0.9443815944371445,0.9945309488361255
2,123,subject103_client0,0.956254590373161,0.8484125198743426
2,123,subject103_client1,0.9308419982267295,1.1885203372022661
2,123,subject103_client2,0.9629928844205299,0.9950370241094355
2,123,subject103_client3,0.8206002258570814,1.0683212300874656
