outer_fold,outer_test_subject,alpha,subject_id,local_client_id,global_client_id,windows,classes_present,normalized_label_entropy,dominant_class_fraction,js_divergence_from_fold
1,101,1.0,102,0,subject102_client0,442,12,0.9497828177486176,0.167420814479638,0.07045578317260401
1,101,1.0,102,1,subject102_client1,613,12,0.8946652318021215,0.22838499184339314,0.08810940256828259
1,101,1.0,102,2,subject102_client2,400,12,0.831670435976879,0.3,0.14300207015370048
1,101,1.0,102,3,subject102_client3,546,12,0.860533359197019,0.1813186813186813,0.09744638447419118
1,101,1.0,103,0,subject103_client0,561,8,0.6936941035386868,0.3404634581105169,0.20400400521245818
1,101,1.0,103,1,subject103_client1,215,7,0.6059641699894476,0.3674418604651163,0.3702137229870325
1,101,1.0,103,2,subject103_client2,203,8,0.6920338588189978,0.3054187192118227,0.2703210084327022
1,101,1.0,103,3,subject103_client3,343,8,0.708858377955708,0.31486880466472306,0.24943316604573115
1,101,1.0,104,0,subject104_client0,493,9,0.781078544374239,0.31237322515212984,0.13332961552743966
1,101,1.0,104,1,subject104_client1,371,10,0.7543030693681804,0.2587601078167116,0.2325005159020918
1,101,1.0,104,2,subject104_client2,465,10,0.8251008372565319,0.23225806451612904,0.11235494078973375
1,101,1.0,104,3,subject104_client3,434,10,0.8590273783585373,0.2073732718894009,0.08649202981787096
1,101,1.0,105,0,subject105_client0,597,12,0.9156906631622855,0.17755443886097153,0.036424650039510856
1,101,1.0,105,1,subject105_client1,523,12,0.9062580821507603,0.16061185468451242,0.07044414623464443
1,101,1.0,105,2,subject105_client2,382,12,0.8904922848387441,0.1806282722513089,0.16361358632233924
1,101,1.0,105,3,subject105_client3,569,12,0.9036022073168538,0.1616871704745167,0.057454675360589874
1,101,1.0,106,0,subject106_client0,593,11,0.8614970879944771,0.23946037099494097,0.07498150720117673
1,101,1.0,106,1,subject106_client1,257,11,0.8391930991989448,0.2607003891050584,0.17506558819412482
1,101,1.0,106,2,subject106_client2,644,12,0.8953277904436451,0.14285714285714285,0.0396630727253256
1,101,1.0,106,3,subject106_client3,406,11,0.8380157876868501,0.26354679802955666,0.1533445209471126
1,101,1.0,107,0,subject107_client0,254,10,0.7728859060944664,0.2440944881889764,0.20983744207065305
1,101,1.0,107,1,subject107_client1,417,11,0.7421075456765888,0.3405275779376499,0.13496269329765873
1,101,1.0,107,2,subject107_client2,467,11,0.7740612126115413,0.2676659528907923,0.14024411016463495
1,101,1.0,107,3,subject107_client3,630,11,0.8131505209196825,0.24761904761904763,0.1527462280111656
1,101,1.0,108,0,subject108_client0,656,12,0.8987951023003307,0.21798780487804878,0.0784098826512942
1,101,1.0,108,1,subject108_client1,375,12,0.872124204965757,0.22666666666666666,0.0993116131775332
