alpha,alpha_label,subject_id,local_client_id,global_client_id,row_index,activity_index,activity_name,start_timestamp_s
1.0,alpha1p0,101,1,subject101_client1,11014,0,lying,37.66
1.0,alpha1p0,101,1,subject101_client1,11015,0,lying,38.94
1.0,alpha1p0,101,1,subject101_client1,11016,0,lying,40.22
1.0,alpha1p0,101,1,subject101_client1,11017,0,lying,41.5
1.0,alpha1p0,101,1,subject101_client1,11018,0,lying,42.78
1.0,alpha1p0,101,1,subject101_client1,11019,0,lying,44.06
1.0,alpha1p0,101,1,subject101_client1,11020,0,lying,45.34
1.0,alpha1p0,101,1,subject101_client1,11021,0,lying,46.62
1.0,alpha1p0,101,1,subject101_client1,11022,0,lying,47.9
1.0,alpha1p0,101,1,subject101_client1,11023,0,lying,49.18
1.0,alpha1p0,101,1,subject101_client1,11024,0,lying,50.46
1.0,alpha1p0,101,1,subject101_client1,11025,0,lying,51.74
1.0,alpha1p0,101,1,subject101_client1,11026,0,lying,53.02
1.0,alpha1p0,101,1,subject101_client1,11027,0,lying,54.3
1.0,alpha1p0,101,0,subject101_client0,11029,0,lying,56.86
1.0,alpha1p0,101,0,subject101_client0,11030,0,lying,58.14
1.0,alpha1p0,101,0,subject101_client0,11031,0,lying,59.42
1.0,alpha1p0,101,0,subject101_client0,11032,0,lying,60.7
1.0,alpha1p0,101,0,subject101_client0,11033,0,lying,61.98
1.0,alpha1p0,101,0,subject101_client0,11034,0,lying,63.26
1.0,alpha1p0,101,0,subject101_client0,11035,0,lying,64.54
1.0,alpha1p0,101,0,subject101_client0,11036,0,lying,65.82
1.0,alpha1p0,101,0,subject101_client0,11037,0,lying,67.1
1.0,alpha1p0,101,0,subject101_client0,11038,0,lying,68.38
1.0,alpha1p0,101,0,subject101_client0,11039,0,lying,69.66
1.0,alpha1p0,101,0,subject101_client0,11040,0,lying,70.94
1.0,alpha1p0,101,0,subject101_client0,11041,0,lying,72.22
1.0,alpha1p0,101,0,subject101_client0,11042,0,lying,73.5
1.0,alpha1p0,101,0,subject101_client0,11043,0,lying,74.78
1.0,alpha1p0,101,0,subject101_client0,11044,0,lying,76.06
1.0,alpha1p0,101,0,subject101_client0,11045,0,lying,77.34
1.0,alpha1p0,101,0,subject101_client0,11046,0,lying,78.62
1.0,alpha1p0,101,0,subject101_client0,11047,0,lying,79.9
1.0,alpha1p0,101,0,subject101_client0,11048,0,lying,81.18
1.0,alpha1p0,101,0,subject101_client0,11049,0,lying,82.46
1.0,alpha1p0,101,0,subject101_client0,11050,0,lying,83.74
1.0,alpha1p0,101,0,subject101_client0,11051,0,lying,85.02
1.0,alpha1p0,101,0,subject101_client0,11052,0,lying,86.3
1.0,alpha1p0,101,0,subject101_client0,11053,0,lying,87.58
1.0,alpha1p0,101,0,subject101_client0,11054,0,lying,88.86
1.0,alpha1p0,101,0,subject101_client0,11055,0,lying,90.14
1.0,alpha1p0,101,0,subject101_client0,11056,0,lying,91.42
1.0,alpha1p0,101,0,subject101_client0,11057,0,lying,92.7
1.0,alpha1p0,101,0,subject101_client0,11058,0,lying,93.98
1.0,alpha1p0,101,0,subject101_client0,11059,0,lying,95.26
1.0,alpha1p0,101,0,subject101_client0,11060,0,lying,96.54
1.0,alpha1p0,101,0,subject101_client0,11061,0,lying,97.82
1.0,alpha1p0,101,0,subject101_client0,11062,0,lying,99.1
1.0,alpha1p0,101,0,subject101_client0,11063,0,lying,100.38
1.0,alpha1p0,101,0,subject101_client0,11064,0,lying,101.66
1.0,alpha1p0,101,0,subject101_client0,11065,0,lying,102.94
1.0,alpha1p0,101,0,subject101_client0,11066,0,lying,104.22
1.0,alpha1p0,101,0,subject101_client0,11067,0,lying,105.5
1.0,alpha1p0,101,0,subject101_client0,11068,0,lying,106.78
1.0,alpha1p0,101,0,subject101_client0,11069,0,lying,108.06
1.0,alpha1p0,101,0,subject101_client0,11070,0,lying,109.34
1.0,alpha1p0,101,0,subject101_client0,11071,0,lying,110.62
1.0,alpha1p0,101,0,subject101_client0,11072,0,lying,111.9
1.0,alpha1p0,101,0,subject101_client0,11073,0,lying,113.18
1.0,alpha1p0,101,0,subject101_client0,11074,0,lying,114.46
1.0,alpha1p0,101,0,subject101_client0,11075,0,lying,115.74
1.0,alpha1p0,101,0,subject101_client0,11076,0,lying,117.02
1.0,alpha1p0,101,0,subject101_client0,11077,0,lying,118.3
1.0,alpha1p0,101,0,subject101_client0,11078,0,lying,119.58
1.0,alpha1p0,101,0,subject101_client0,11079,0,lying,120.86
1.0,alpha1p0,101,0,subject101_client0,11080,0,lying,122.14
1.0,alpha1p0,101,0,subject101_client0,11081,0,lying,123.42
1.0,alpha1p0,101,0,subject101_client0,11082,0,lying,124.7
1.0,alpha1p0,101,0,subject101_client0,11083,0,lying,125.98
1.0,alpha1p0,101,0,subject101_client0,11084,0,lying,127.26
1.0,alpha1p0,101,0,subject101_client0,11085,0,lying,128.54
1.0,alpha1p0,101,0,subject101_client0,11086,0,lying,129.82
1.0,alpha1p0,101,0,subject101_client0,11087,0,lying,131.1
1.0,alpha1p0,101,0,subject101_client0,11088,0,lying,132.38
1.0,alpha1p0,101,0,subject101_client0,11089,0,lying,133.66
1.0,alpha1p0,101,0,subject101_client0,11090,0,lying,134.94
1.0,alpha1p0,101,0,subject101_client0,11091,0,lying,136.22
1.0,alpha1p0,101,0,subject101_client0,11092,0,lying,137.5
1.0,alpha1p0,101,0,subject101_client0,11093,0,lying,138.78
1.0,alpha1p0,101,0,subject101_client0,11094,0,lying,140.06
1.0,alpha1p0,101,0,subject101_client0,11095,0,lying,141.34
1.0,alpha1p0,101,0,subject101_client0,11096,0,lying,142.62
1.0,alpha1p0,101,0,subject101_client0,11097,0,lying,143.9
1.0,alpha1p0,101,0,subject101_client0,11098,0,lying,145.18
1.0,alpha1p0,101,0,subject101_client0,11099,0,lying,146.46
1.0,alpha1p0,101,0,subject101_client0,11100,0,lying,147.74
1.0,alpha1p0,101,0,subject101_client0,11101,0,lying,149.02
1.0,alpha1p0,101,0,subject101_client0,11102,0,lying,150.3
1.0,alpha1p0,101,2,subject101_client2,11104,0,lying,152.86
1.0,alpha1p0,101,2,subject101_client2,11105,0,lying,154.14
1.0,alpha1p0,101,2,subject101_client2,11106,0,lying,155.42
1.0,alpha1p0,101,2,subject101_client2,11107,0,lying,156.7
1.0,alpha1p0,101,2,subject101_client2,11108,0,lying,157.98
1.0,alpha1p0,101,2,subject101_client2,11109,0,lying,159.26
1.0,alpha1p0,101,2,subject101_client2,11110,0,lying,160.54
1.0,alpha1p0,101,2,subject101_client2,11111,0,lying,161.82
1.0,alpha1p0,101,2,subject101_client2,11112,0,lying,163.1
1.0,alpha1p0,101,2,subject101_client2,11113,0,lying,164.38
1.0,alpha1p0,101,2,subject101_client2,11114,0,lying,165.66
1.0,alpha1p0,101,2,subject101_client2,11115,0,lying,166.94
1.0,alpha1p0,101,2,subject101_client2,11116,0,lying,168.22
1.0,alpha1p0,101,2,subject101_client2,11117,0,lying,169.5
1.0,alpha1p0,101,2,subject101_client2,11118,0,lying,170.78
1.0,alpha1p0,101,2,subject101_client2,11119,0,lying,172.06
1.0,alpha1p0,101,2,subject101_client2,11120,0,lying,173.34
1.0,alpha1p0,101,2,subject101_client2,11121,0,lying,174.62
1.0,alpha1p0,101,2,subject101_client2,11122,0,lying,175.9
1.0,alpha1p0,101,2,subject101_client2,11123,0,lying,177.18
1.0,alpha1p0,101,2,subject101_client2,11124,0,lying,178.46
1.0,alpha1p0,101,2,subject101_client2,11125,0,lying,179.74
1.0,alpha1p0,101,2,subject101_client2,11126,0,lying,181.02
1.0,alpha1p0,101,2,subject101_client2,11127,0,lying,182.3
1.0,alpha1p0,101,2,subject101_client2,11128,0,lying,183.58
1.0,alpha1p0,101,2,subject101_client2,11129,0,lying,184.86
1.0,alpha1p0,101,2,subject101_client2,11130,0,lying,186.14
1.0,alpha1p0,101,2,subject101_client2,11131,0,lying,187.42
1.0,alpha1p0,101,2,subject101_client2,11132,0,lying,188.7
1.0,alpha1p0,101,2,subject101_client2,11133,0,lying,189.98
1.0,alpha1p0,101,2,subject101_client2,11134,0,lying,191.26
1.0,alpha1p0,101,2,subject101_client2,11135,0,lying,192.54
1.0,alpha1p0,101,2,subject101_client2,11136,0,lying,193.82
1.0,alpha1p0,101,2,subject101_client2,11137,0,lying,195.1
1.0,alpha1p0,101,2,subject101_client2,11138,0,lying,196.38
1.0,alpha1p0,101,2,subject101_client2,11139,0,lying,197.66
1.0,alpha1p0,101,2,subject101_client2,11140,0,lying,198.94
1.0,alpha1p0,101,2,subject101_client2,11141,0,lying,200.22
1.0,alpha1p0,101,2,subject101_client2,11142,0,lying,201.5
1.0,alpha1p0,101,2,subject101_client2,11143,0,lying,202.78
1.0,alpha1p0,101,2,subject101_client2,11144,0,lying,204.06
1.0,alpha1p0,101,2,subject101_client2,11145,0,lying,205.34
1.0,alpha1p0,101,2,subject101_client2,11146,0,lying,206.62
1.0,alpha1p0,101,2,subject101_client2,11147,0,lying,207.9
1.0,alpha1p0,101,2,subject101_client2,11148,0,lying,209.18
1.0,alpha1p0,101,2,subject101_client2,11149,0,lying,210.46
1.0,alpha1p0,101,2,subject101_client2,11150,0,lying,211.74
1.0,alpha1p0,101,2,subject101_client2,11151,0,lying,213.02
1.0,alpha1p0,101,2,subject101_client2,11152,0,lying,214.3
1.0,alpha1p0,101,2,subject101_client2,11153,0,lying,215.58
1.0,alpha1p0,101,2,subject101_client2,11154,0,lying,216.86
