alpha,alpha_label,subject_id,local_client_id,global_client_id,row_index,activity_index,activity_name,start_timestamp_s
0.1,alpha0p1,101,3,subject101_client3,11014,0,lying,37.66
0.1,alpha0p1,101,3,subject101_client3,11015,0,lying,38.94
0.1,alpha0p1,101,3,subject101_client3,11016,0,lying,40.22
0.1,alpha0p1,101,3,subject101_client3,11017,0,lying,41.5
0.1,alpha0p1,101,3,subject101_client3,11018,0,lying,42.78
0.1,alpha0p1,101,3,subject101_client3,11019,0,lying,44.06
0.1,alpha0p1,101,3,subject101_client3,11020,0,lying,45.34
0.1,alpha0p1,101,3,subject101_client3,11021,0,lying,46.62
0.1,alpha0p1,101,3,subject101_client3,11022,0,lying,47.9
0.1,alpha0p1,101,3,subject101_client3,11023,0,lying,49.18
0.1,alpha0p1,101,3,subject101_client3,11024,0,lying,50.46
0.1,alpha0p1,101,3,subject101_client3,11025,0,lying,51.74
0.1,alpha0p1,101,3,subject101_client3,11026,0,lying,53.02
0.1,alpha0p1,101,3,subject101_client3,11027,0,lying,54.3
0.1,alpha0p1,101,3,subject101_client3,11028,0,lying,55.58
0.1,alpha0p1,101,3,subject101_client3,11029,0,lying,56.86
0.1,alpha0p1,101,3,subject101_client3,11030,0,lying,58.14
0.1,alpha0p1,101,3,subject101_client3,11031,0,lying,59.42
0.1,alpha0p1,101,3,subject101_client3,11032,0,lying,60.7
0.1,alpha0p1,101,3,subject101_client3,11033,0,lying,61.98
0.1,alpha0p1,101,3,subject101_client3,11034,0,lying,63.26
0.1,alpha0p1,101,3,subject101_client3,11035,0,lying,64.54
0.1,alpha0p1,101,3,subject101_client3,11036,0,lying,65.82
0.1,alpha0p1,101,3,subject101_client3,11037,0,lying,67.1
0.1,alpha0p1,101,3,subject101_client3,11038,0,lying,68.38
0.1,alpha0p1,101,3,subject101_client3,11039,0,lying,69.66
0.1,alpha0p1,101,3,subject101_client3,11040,0,lying,70.94
0.1,alpha0p1,101,3,subject101_client3,11041,0,lying,72.22
0.1,alpha0p1,101,3,subject101_client3,11042,0,lying,73.5
0.1,alpha0p1,101,3,subject101_client3,11043,0,lying,74.78
0.1,alpha0p1,101,3,subject101_client3,11044,0,lying,76.06
0.1,alpha0p1,101,3,subject101_client3,11045,0,lying,77.34
